batch,horizon_h,variable,rmse,mae,pearson
4,6,msl,0.8911123275756836,0.6359449028968811,0.20198485255241394
4,12,u10,1.1221152544021606,0.845785915851593,0.1715288609266281
4,12,v10,1.13137686252594,0.8164472579956055,0.6338726282119751
4,12,t2m,0.6350782513618469,0.4915051758289337,0.7823851704597473
4,12,msl,0.9851896166801453,0.7572334408760071,0.0504048727452755
4,18,u10,1.1296741962432861,0.9022355079650879,-0.2259242683649063
4,18,v10,0.9710727334022522,0.7503607273101807,0.6845605373382568
4,18,t2m,0.5874346494674683,0.4496140480041504,0.7786709070205688
4,18,msl,0.8905532956123352,0.7234634757041931,0.2585124373435974
4,24,u10,1.0440447330474854,0.8120132684707642,-0.33028867840766907
4,24,v10,0.7185893058776855,0.556843101978302,0.4691939055919647
4,24,t2m,0.5636684894561768,0.4471690356731415,0.7862456440925598
4,24,msl,0.7378073930740356,0.5755763649940491,0.3648824989795685
5,6,u10,1.0205880403518677,0.7773993611335754,0.29516085982322693
5,6,v10,1.0617719888687134,0.7704958319664001,0.775457501411438
5,6,t2m,0.6411598324775696,0.4816286265850067,0.7736478447914124
5,6,msl,0.8470745086669922,0.6742662191390991,0.38445305824279785
5,12,u10,1.1058226823806763,0.8877769708633423,-0.2401009052991867
5,12,v10,0.9154579639434814,0.7038801312446594,0.643528163433075
5,12,t2m,0.6692891120910645,0.5088905096054077,0.7727111577987671
5,12,msl,0.9201118350028992,0.7458486557006836,0.22151118516921997
5,18,u10,0.9924154281616211,0.7543202638626099,-0.3146574795246124
5,18,v10,0.7083045840263367,0.5487942695617676,0.27102646231651306
5,18,t2m,0.5905951857566833,0.4797304570674896,0.7636988162994385
5,18,msl,0.7326516509056091,0.5703616142272949,0.3120262324810028
5,24,u10,1.0051488876342773,0.7529031038284302,0.05310020223259926
5,24,v10,0.8555295467376709,0.6374185681343079,-0.3113631308078766
5,24,t2m,0.6223398447036743,0.4962448179721832,0.7635898590087891
5,24,msl,1.3301243782043457,1.043956995010376,0.5039228796958923
6,6,u10,0.9352850914001465,0.7329459190368652,0.3067401051521301
6,6,v10,0.7673193216323853,0.5906307697296143,0.6603350043296814
6,6,t2m,0.7077100872993469,0.5321418046951294,0.7464207410812378
6,6,msl,0.6835443377494812,0.5838993787765503,0.5855108499526978
6,12,u10,0.9405144453048706,0.6991181373596191,-0.12999579310417175
6,12,v10,0.767090916633606,0.593312680721283,-0.031577691435813904
6,12,t2m,0.6423518061637878,0.5136657953262329,0.7649624347686768
6,12,msl,0.6021703481674194,0.47963154315948486,0.5099197626113892
6,18,u10,0.9395594596862793,0.715758740901947,0.13819123804569244
6,18,v10,0.8789264559745789,0.6633179187774658,-0.29515957832336426
6,18,t2m,0.6534854769706726,0.5296308994293213,0.7506312131881714
6,18,msl,0.9555774331092834,0.777503252029419,0.5572599172592163
6,24,u10,0.804599940776825,0.6169114708900452,0.4790394902229309
6,24,v10,0.7483309507369995,0.5601043105125427,0.1917811781167984
6,24,t2m,0.6283231377601624,0.4914690852165222,0.7934255599975586
6,24,msl,1.216741681098938,1.0387895107269287,0.6520816087722778
7,6,u10,0.9257974028587341,0.701627254486084,0.24587088823318481
7,6,v10,0.8893538117408752,0.6870895624160767,-0.07187329232692719
7,6,t2m,0.7053608298301697,0.5309604406356812,0.7274230122566223
7,6,msl,0.5541748404502869,0.4387683868408203,0.6095250248908997
7,12,u10,0.9115135073661804,0.7016335129737854,0.26289355754852295
7,12,v10,0.9158368706703186,0.7018799781799316,-0.1387099027633667
7,12,t2m,0.6706319451332092,0.531654953956604,0.7828259468078613
7,12,msl,0.7468420267105103,0.6181259155273438,0.6324677467346191
7,18,u10,0.8047637939453125,0.6054940223693848,0.5143350958824158
7,18,v10,0.8555219173431396,0.6474649310112,0.32384613156318665
7,18,t2m,0.6396070718765259,0.4969208538532257,0.8010428547859192
7,18,msl,0.8093209266662598,0.6509360074996948,0.6664949655532837
7,24,u10,0.8986230492591858,0.6497859954833984,0.4506588876247406
