horizon_h,variable,rmse,mae,pearson
6,msl,0.6847299182415009,0.532361228466034,0.7043008351325989
6,t2m,0.5917258381843566,0.458452405333519,0.8337515783309937
6,u10,0.82736083984375,0.626654047369957,0.5485903023183346
6,v10,0.8328686571121215,0.6224354642629624,0.5189171203970909
12,msl,0.7982798224687576,0.6176230752468109,0.517457523420453
12,t2m,0.5941301077604294,0.46797639071941377,0.8314300298690795
12,u10,0.9188343501091003,0.6986289966106415,0.305606182962656
12,v10,0.9189277541637421,0.6904786574840546,0.31255832796916366
18,msl,0.8651608800888062,0.6652170318365097,0.4246301659347955
18,t2m,0.5553679674863815,0.439455189704895,0.8287376916408539
18,u10,0.9533493959903717,0.7237856531143189,0.22604047439061106
18,v10,0.9517910528182983,0.7126342833042145,0.26432938112178817
24,msl,0.9624567365646363,0.7419034016132354,0.3647193961404264
24,t2m,0.5531434810161591,0.43546310782432557,0.8332600975036621
24,u10,0.9933893573284149,0.7523710346221923,0.1917959710583091
24,v10,0.9909574127197266,0.7376521807909012,0.24093097280710934
